step 0,train_accuracy= 0.11
step 200,train_accuracy= 0.92
step 400,train_accuracy= 0.95
step 600,train_accuracy= 0.95
step 800,train_accuracy= 0.94
step 1000,train_accuracy= 0.98
step 1200,train_accuracy= 0.93
step 1400,train_accuracy= 0.97
step 1600,train_accuracy= 0.96
step 1800,train_accuracy= 0.99
step 2000,train_accuracy= 0.99
step 2200,train_accuracy= 1
step 2400,train_accuracy= 1
step 2600,train_accuracy= 0.99
step 2800,train_accuracy= 0.97
step 3000,train_accuracy= 1
step 3200,train_accuracy= 0.98
step 3400,train_accuracy= 0.99
step 3600,train_accuracy= 0.97
step 3800,train_accuracy= 1
step 4000,train_accuracy= 1
step 4200,train_accuracy= 0.99
step 4400,train_accuracy= 1
step 4600,train_accuracy= 0.99
step 4800,train_accuracy= 1
step 5000,train_accuracy= 1
step 5200,train_accuracy= 0.97
step 5400,train_accuracy= 0.99
step 5600,train_accuracy= 0.99
step 5800,train_accuracy= 0.98
WARNING:tensorflow:From G:\numocr_projects\numrec.tf\venv\lib\site-packages\tensorflow\python\training\saver.py:966: remove_checkpoint (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to delete files with this prefix.
step 6000,train_accuracy= 1
step 6200,train_accuracy= 1
step 6400,train_accuracy= 1
step 6600,train_accuracy= 0.99
step 6800,train_accuracy= 0.98
step 7000,train_accuracy= 1
step 7200,train_accuracy= 0.99
step 7400,train_accuracy= 1
step 7600,train_accuracy= 1
step 7800,train_accuracy= 1
step 8000,train_accuracy= 1
step 8200,train_accuracy= 1
step 8400,train_accuracy= 1
step 8600,train_accuracy= 1
step 8800,train_accuracy= 1
step 9000,train_accuracy= 1
step 9200,train_accuracy= 0.99
step 9400,train_accuracy= 1
step 9600,train_accuracy= 1
step 9800,train_accuracy= 0.99
step 10000,train_accuracy= 1
step 10200,train_accuracy= 1
step 10400,train_accuracy= 1
step 10600,train_accuracy= 1
step 10800,train_accuracy= 1
step 11000,train_accuracy= 0.99
step 11200,train_accuracy= 1
step 11400,train_accuracy= 1
step 11600,train_accuracy= 1
step 11800,train_accuracy= 1
step 12000,train_accuracy= 1
step 12200,train_accuracy= 1
step 12400,train_accuracy= 1
step 12600,train_accuracy= 1
step 12800,train_accuracy= 1
step 13000,train_accuracy= 0.99
step 13200,train_accuracy= 1
step 13400,train_accuracy= 1
step 13600,train_accuracy= 1
step 13800,train_accuracy= 0.99
step 14000,train_accuracy= 1
step 14200,train_accuracy= 1
step 14400,train_accuracy= 1
step 14600,train_accuracy= 1
step 14800,train_accuracy= 1
step 15000,train_accuracy= 0.99
step 15200,train_accuracy= 0.99
step 15400,train_accuracy= 1
step 15600,train_accuracy= 0.99
step 15800,train_accuracy= 1
step 16000,train_accuracy= 0.99
step 16200,train_accuracy= 1
step 16400,train_accuracy= 1
step 16600,train_accuracy= 1
step 16800,train_accuracy= 1
step 17000,train_accuracy= 1
step 17200,train_accuracy= 1
step 17400,train_accuracy= 0.99
step 17600,train_accuracy= 1
step 17800,train_accuracy= 1
step 18000,train_accuracy= 0.99
step 18200,train_accuracy= 1
step 18400,train_accuracy= 1
step 18600,train_accuracy= 1
step 18800,train_accuracy= 1
step 19000,train_accuracy= 1
step 19200,train_accuracy= 1
step 19400,train_accuracy= 1
step 19600,train_accuracy= 1
step 19800,train_accuracy= 1
test_accuracy= 0.9919
